Date,HV-20,YZ-20,EWMA,GJR-GARCH,HAR-RV,Ensemble,VIX
2021-03-04,0.16311352969634632,0.17374090954235458,0.17486485634847918,0.21393054936689132,0.23960924926732285,0.20946821832756446,0.2857
2021-03-05,0.1715002503327485,0.19459582546031312,0.1763166281759884,0.22150609495268284,0.22088827062949357,0.20623699791938824,0.2466
2021-03-08,0.1714836276343145,0.19713669081809526,0.18505874734543465,0.21017730208607788,0.26899616565051526,0.22141073836067593,0.2547
2021-03-09,0.17747440050892338,0.2019477040502858,0.1804676227603841,0.1986955362669662,0.17624569642366292,0.18513628515033775,0.2403
2021-03-10,0.17902226822775602,0.20316142761044567,0.18344786692655143,0.18774214583859988,0.228481009564584,0.1998903407765784,0.2256
2021-03-11,0.1826112225673849,0.20299007346213244,0.17948859755123833,0.17470896935070415,0.18018573533840296,0.1781277674134485,0.2191
2021-03-12,0.18259087080512437,0.20283986126583414,0.17838731695848487,0.16460979679048973,0.1963820648236536,0.1797930595242094,0.2069
2021-03-15,0.18295910612517657,0.20402285153707966,0.17303207509917432,0.15344677744584256,0.15151017431920513,0.15932967562140732,0.2003
2021-03-16,0.18300305257547933,0.2039834822768936,0.16934637964700147,0.14436978565282357,0.16347092600004384,0.15906236376662297,0.1979
2021-03-17,0.18329718588127894,0.20430398706197428,0.16426072339929218,0.1363052918102636,0.14209287906655355,0.1475529647587031,0.1923
2021-03-18,0.1905366535833115,0.20559916723014757,0.15980581797633125,0.12874718243261635,0.1448134351471316,0.14445547851869306,0.2158
2021-03-19,0.19054783258081942,0.2068590424110303,0.1650871513379887,0.16937513532566376,0.2115087325941738,0.18199033975260875,0.2095
2021-03-22,0.19014501656360572,0.20441363557793468,0.1602198367591739,0.15875713169731118,0.14705527924186337,0.15534408256611615,0.1888
2021-03-23,0.1926672158407818,0.19706107999840058,0.1583874699532657,0.14972144753705666,0.1689441512801307,0.159017689590151,0.203
2021-03-24,0.189421572321878,0.19535874700890526,0.15660627519012946,0.1547855073269703,0.17109503709057955,0.16082893986922642,0.212
2021-03-25,0.167674102284105,0.19194836558610068,0.15312304404603372,0.1512118788558854,0.15952277266587087,0.15461923185593,0.1981
2021-03-26,0.17385691766691833,0.18926311071499957,0.1500522014600058,0.1423115822060028,0.15347037136688926,0.14861138501096594,0.1886
2021-03-29,0.1537402529046621,0.1753038832541415,0.15820542385949496,0.14070939142678934,0.22699999200168625,0.17530493576265682,0.20739999999999997
2021-03-30,0.15088745233222783,0.17565715726029046,0.153398445122634,0.13261556508171052,0.15031471080077505,0.14544290700170653,0.1961
2021-03-31,0.14095050782250473,0.1742038595442464,0.14908358166391017,0.12772004674674178,0.1500601248922358,0.14228791776762922,0.19399999999999998
2021-04-01,0.13305554759455462,0.1590357290752349,0.14539526500143485,0.12139792182783452,0.15273435549013836,0.13984251410646922,0.17329999999999998
2021-04-05,0.12775564629753805,0.1340168492268721,0.14702331539089095,0.11904048459054302,0.1880810612331978,0.15138162040487724,0.1791
2021-04-06,0.12501164371445947,0.12874763722983285,0.15293690843158642,0.11989301405538257,0.21009830525996687,0.16097607591564528,0.1812
2021-04-07,0.11829697304148273,0.12011168529454064,0.14829562753361303,0.11454627761142212,0.148032971436382,0.13695829219380573,0.1716
2021-04-08,0.11781861474832138,0.11729733936609751,0.14384826771956752,0.10958586409671131,0.14784440937415966,0.13375951373014616,0.16949999999999998
2021-04-09,0.11581623420914565,0.11271377046650966,0.14067634702622375,0.1059621825851306,0.15564582071807984,0.1340947834431447,0.16690000000000002
2021-04-12,0.1159863505536311,0.11147930469489974,0.1392690074643906,0.10393017453572324,0.16293436899444894,0.13537785033152094,0.1691
2021-04-13,0.11523904563376693,0.10856778758049371,0.13503375684892366,0.10047099001138007,0.13389179838613627,0.12313218174881332,0.16649999999999998
2021-04-14,0.11634806159789329,0.1085911470322933,0.13142486893864241,0.09774606133883554,0.13762801794431556,0.12226631607393115,0.1699
2021-04-15,0.12024535965898837,0.10722001816099111,0.12811371126855803,0.10005895824397294,0.13939256553189378,0.12252174501480823,0.16570000000000001
2021-04-16,0.10184318250012635,0.09911827965057382,0.13097572432445614,0.10129744079936523,0.17854812628192024,0.13694043046858054,0.1625
2021-04-19,0.10447633991403565,0.09750087980987045,0.12764684251483832,0.09852686804271815,0.1414421274184277,0.1225386126586614,0.1729
2021-04-20,0.10925004832063132,0.09923716654841173,0.12523126560603237,0.10482902781336645,0.14753368981706497,0.12586466107882127,0.1868
2021-04-21,0.10472226642326785,0.09658174398550798,0.12473317880929688,0.118260778460244,0.16007340685309743,0.13435578804087944,0.175
2021-04-22,0.10993067798779474,0.09543725305492759,0.12635603914503457,0.11553418738309885,0.174631005032676,0.1388404105202698,0.18710000000000002
2021-04-23,0.11299185166575341,0.09070492109693318,0.12759583403802202,0.1336307888456196,0.17199670883371465,0.14440777723911874,0.17329999999999998
2021-04-26,0.10268338923586573,0.08719838106364215,0.13062231635211616,0.12943142738038044,0.18579039752527624,0.14861471375259094,0.1764
2021-04-27,0.10257004472390086,0.08353768701572661,0.12690244733724404,0.12256493286122332,0.1481694113525968,0.13254559718368805,0.17559999999999998
2021-04-28,0.10127373332989378,0.08171672071409916,0.12303934940343227,0.11667095780191816,0.143793482443129,0.12783459654949314,0.1728
2021-04-29,0.10198113945934818,0.0878841451476441,0.11929630713016805,0.11160335124448716,0.13918178593615346,0.12336048143693622,0.1761
2021-04-30,0.10287811804540559,0.0903708253943432,0.11827045823878529,0.10828383725323804,0.15211426715139986,0.12622285421447438,0.1861
2021-05-03,0.0922476010524327,0.08826378077359012,0.11749762052663376,0.11795343188569059,0.14971445690285684,0.1283885031050604,0.18309999999999998
2021-05-04,0.0959445115454809,0.095747936022267,0.11422576978800321,0.11260680830063013,0.13474479675427808,0.12052579161430381,0.1948
2021-05-05,0.09599121928557612,0.0970980214660712,0.11333003722231377,0.11985750483023713,0.14939131712566192,0.1275262863927376,0.19149999999999998
2021-05-06,0.09825483071911156,0.100360352739736,0.10988427137303042,0.11418267975329596,0.13455214020850315,0.11953969711160983,0.1839
2021-05-07,0.09826104498393334,0.10117063051829463,0.11093526130760376,0.11124384607707345,0.15912102137142498,0.12710004291870072,0.16690000000000002
2021-05-10,0.10604422143214012,0.10212065306134169,0.11119053711449225,0.10839355000506955,0.15585431841461186,0.1251461351780579,0.1966
